timestamp,service,metric,value,labels
1749487940,c,service_latency_seconds,0.1,
1749487945,c,service_cpu_usage,0.9,
1749487945,c,service_circuit_breaker_state,0.0,
1749487945,c,service_health,1.0,
1749487945,c,service_latency_seconds,0.1,
1749487950,c,service_cpu_usage,0.3,
1749487950,c,service_circuit_breaker_state,0.0,
1749487950,c,service_health,1.0,
1749487950,c,service_latency_seconds,0.1,
1749487892,d,service_cpu_usage,7.0,
1749487892,d,service_circuit_breaker_state,0.0,
1749487892,d,service_health,1.0,
1749487892,d,service_latency_seconds,0.1,
1749487897,d,service_cpu_usage,3.4,
1749487897,d,service_circuit_breaker_state,0.0,
1749487897,d,service_health,1.0,
1749487897,d,service_latency_seconds,0.1,
1749487903,d,service_cpu_usage,12.8,
1749487903,d,service_circuit_breaker_state,0.0,
1749487903,d,service_health,1.0,
1749487903,d,service_latency_seconds,0.1,
1749487908,d,service_cpu_usage,13.1,
1749487908,d,service_circuit_breaker_state,0.0,
1749487908,d,service_health,1.0,
1749487908,d,service_latency_seconds,0.1,
1749487913,d,service_cpu_usage,12.8,
1749487913,d,service_circuit_breaker_state,0.0,
1749487913,d,service_health,1.0,
1749487913,d,service_latency_seconds,0.1,
1749487919,d,service_cpu_usage,13.2,
1749487919,d,service_circuit_breaker_state,0.0,
1749487919,d,service_health,1.0,
1749487919,d,service_latency_seconds,0.1,
1749487924,d,service_cpu_usage,14.1,
1749487924,d,service_circuit_breaker_state,0.0,
1749487924,d,service_health,1.0,
1749487924,d,service_latency_seconds,0.1,
1749487930,d,service_cpu_usage,4.9,
1749487930,d,service_circuit_breaker_state,0.0,
1749487930,d,service_health,1.0,
1749487930,d,service_latency_seconds,0.1,
1749487935,d,service_cpu_usage,0.5,
1749487935,d,service_circuit_breaker_state,0.0,
1749487935,d,service_health,1.0,
1749487935,d,service_latency_seconds,0.1,
1749487940,d,service_cpu_usage,1.5,
1749487940,d,service_circuit_breaker_state,0.0,
1749487940,d,service_health,1.0,
1749487940,d,service_latency_seconds,0.1,
1749487945,d,service_cpu_usage,0.8,
1749487945,d,service_circuit_breaker_state,0.0,
1749487945,d,service_health,1.0,
1749487945,d,service_latency_seconds,0.1,
1749487950,d,service_cpu_usage,0.5,
1749487950,d,service_circuit_breaker_state,0.0,
1749487950,d,service_health,1.0,
1749487950,d,service_latency_seconds,0.1,
